"Structure ID","Ligand ID","SMILES","InChiKey"
2,1,"FC(F)(F)c1cc(NC(=O)c2cc(Nc3cncc(c3)C(=O)N)c(cc2)C)ccc1","SAAYRHKJHDIDPH-UHFFFAOYSA-N"
3,1,"FC(F)(F)c1cc(NC(=O)c2cc(Nc3cncc(c3)C(=O)N)c(cc2)C)ccc1","SAAYRHKJHDIDPH-UHFFFAOYSA-N"
16,2,"S1C=2C(=NNC2C=C1C(F)F)C=3Nc4c(ccc(c4)C(O)(CC)CC)C3","CQZZZUNOWZUNNG-UHFFFAOYSA-N"
16,3,"S1c2ncccc2N=C1Nc3nc(nc(c3)CN4CCOCC4)N[C@@H]5CN(C(=O)CC)CC5","JSHRNKDQLCOTRI-HNNXBMFYSA-N"
16,4,"S1c2ncccc2N=C1Nc3nc(nc(c3)CN4CCOCC4)N[C@@H]5CN(C(=O)C=C)CC5","LZANMDGKZJPQIB-HNNXBMFYSA-N"
16,5,"Fc1cc\2c(NC(=O)/C2=C\C=3NC(=C(C(=O)NCCN(CC)CC)C3C)C)cc1","WINHZLLDWRZWRT-ATVHPVEESA-N"
16,6,"O=C(NC=1C(=NN(c2c3c(ccc2)cccc3)C1)C(=O)N)N","CJQCPTLUHOGRQY-UHFFFAOYSA-N"
16,7,"S1C(c2ccccc2)=CC=3NN=C(C13)C=4Nc5c(ccc(c5)C(O)(CC)CC)C4","YBKODNZGBUDZRA-UHFFFAOYSA-N"
16,8,"S(=O)(=O)(N)c1cc(Nc2nc3c(cn2)ccc4SC(c5ccccc5)=Cc43)ccc1","ZSSGEBJSMMYEMX-UHFFFAOYSA-N"
16,9,"S1c2c(N=C1NC(=O)[C@@H]3[C@@H](c4ccc(cc4)CN(C)C)C3)ccc(c2)C=5C=NNC5","WIUYFJQWJMBTCE-MOPGFXCFSA-N"
16,10,"O=C(NC=1C=NN(C1)[C@@H](c2ccccc2)CCN(C)C)C3=NNc4c3ccc(c4)C=5C=NNC5","NCXHAHGMYXETMO-HSZRJFAPSA-N"
16,11,"O=C(NC=1C(=O)NC=C(c2ccncc2)C1)c3ccccc3","KASWEFFYPLWMCM-UHFFFAOYSA-N"
16,13,"Fc1c(N(C(=O)/C=C\CN(C)C)C)cc2N3C(C(=Nc2c1)Nc4c(cccc4)C)=CN=C3","YMSXHRWUGLAAKL-YFHOEESVSA-N"
16,15,"O=C(NC=1C=NN(C1)[C@H](c2ccccc2)CCN(C)C)C3=NNC4=C3CCC(C4)(C)C","XFYUTGIEFKGWND-NRFANRHFSA-N"
16,16,"O=C(NC=1C=NN(C1)Cc2cc(C#N)ccc2)C=3NN=C4C3C=CC=C4","QOSKBOUKENYWAA-UHFFFAOYSA-N"
16,17,"O=C(NC=1C=NN(C1)Cc2cc(C#N)ccc2)C3=NNc4c3ccc(c4)C=5C=NNC5","LBYBJJIMARLHMV-UHFFFAOYSA-N"
16,19,"S(=O)(=O)(c1cc(nc(NC2CCC(O)CC2)c1)NC3=NNC(c4ccccc4)=C3)c5ccccc5","YIGXUZJWVOKKIO-UHFFFAOYSA-N"
16,20,"S1c2nc(OC)ccc2N=C1Nc3nc(nc(c3)C(F)(F)c4ccc(F)cc4)NC5CCC(O)CC5","PFDUFECOJKSDAT-UHFFFAOYSA-N"
16,21,"S1C=2C(=NNC2C=C1)C=3Nc4c(ccc(c4)C(O)(CC)CC)C3c5ccc(OC)cc5","LXMWGYNOGUKODT-UHFFFAOYSA-N"
16,22,"O=C1N(N=C(NC2=NNC(=C2)C)c3c1cc(cc3)CN4CCN(CC4)C)C5CCOCC5","IYIPJBAPGVUHNG-UHFFFAOYSA-N"
16,23,"S1c2c(N=C1NC(=O)[C@@H]3[C@@H](c4ccc(cc4)CN(C)C)C3)ccc(c5cnccc5)c2","PGABPPHMLFSKKA-RTWAWAEBSA-N"
16,24,"O=C(NC=1C=NN(C1)[C@H](c2ccccc2)CCN(C)C)C3=NNc4c3ccc(c4)C=5C=NNC5","NCXHAHGMYXETMO-QHCPKHFHSA-N"
16,25,"O=C(NC=1C(=NN(c2c3c(ccc(OC(C)C)c3)ccc2)C1)C(=O)N)N","GYKHVLWAQGEZTM-UHFFFAOYSA-N"
16,26,"P(=O)(OP(=O)(O)O)(OC[C@H]1O[C@@H](N2c3ncnc(N)c3N=C2)[C@H](O)[C@@H]1O)O","XTWYTFMLZFPYCI-KQYNXXCUSA-N"
16,27,"O=C(Nc1ccc(cc1)C(C)C)c2cc(ccc2)C3=NN(c4ncnc(N)c43)[C@@H]5CN(C(=O)CC)CCC5","OQUNLLPGZMGVNR-QHCPKHFHSA-N"
16,28,"O=C1NCc2c3c4N(c5c3cccc5)[C@]6(O[C@@H](N7c4c(c8c7cccc8)c21)C[C@@H](NC)[C@H]6OC)C","HKSZLNNOFSGOKW-FYTWVXJKSA-N"
16,29,"O=C(Nc1cc(ccc1)C(C)(C)C)c2cc(ccc2)C3=NN(c4ncnc(N)c43)[C@H]5CN(C(=O)C=C)CCC5","RMAUIYTVKFMOGP-HSZRJFAPSA-N"
16,30,"O=C(NC=1C(=NN(c2c3c(ccc(OC)c3)ccc2)C1)C(=O)N)N","RPIDLPZPJARENN-UHFFFAOYSA-N"
16,31,"O=C(NC=1C(=O)NC=C(c2nc(ncc2)NC)C1)c3ccc(N4CCCCC4)cc3","MKSQDWBNZVGINB-UHFFFAOYSA-N"
16,32,"S1C=2C(=NNC2C=C1)C=3Nc4c(c(OCCN5CCOCC5)cc(c4)C(O)(CC)CC)C3","PVCKRSKEOOWVMP-UHFFFAOYSA-N"
16,33,"S(c1c(cc(OC)c(c1)C(=O)N2CCN(C(=O)C)CC2)C)C=3SC(=NC3)NC(=O)c4ccc(cc4)CN[C@H](C(C)(C)C)C","ZHXNIYGJAOPMSO-NRFANRHFSA-N"
16,34,"S1(=O)(=O)[C@@H]([C@H](N2N=CC(NC(=O)C3=NNC4=C3C[C@H]5[C@](C5(F)F)(C4)C)=C2)c6ccccc6)CCCC1","JNRFIKALOWSUBG-DAVFGYKESA-N"
16,35,"O=C(Nc1ccc(cc1)C(C)C)c2cc(ccc2)C3=NN(c4ncnc(N)c43)[C@H]5CN(C(=O)CC)CCC5","OQUNLLPGZMGVNR-HSZRJFAPSA-N"
37,2,"S1C=2C(=NNC2C=C1C(F)F)C=3Nc4c(ccc(c4)C(O)(CC)CC)C3","CQZZZUNOWZUNNG-UHFFFAOYSA-N"
37,3,"S1c2ncccc2N=C1Nc3nc(nc(c3)CN4CCOCC4)N[C@@H]5CN(C(=O)CC)CC5","JSHRNKDQLCOTRI-HNNXBMFYSA-N"
37,4,"S1c2ncccc2N=C1Nc3nc(nc(c3)CN4CCOCC4)N[C@@H]5CN(C(=O)C=C)CC5","LZANMDGKZJPQIB-HNNXBMFYSA-N"
37,5,"Fc1cc\2c(NC(=O)/C2=C\C=3NC(=C(C(=O)NCCN(CC)CC)C3C)C)cc1","WINHZLLDWRZWRT-ATVHPVEESA-N"
37,6,"O=C(NC=1C(=NN(c2c3c(ccc2)cccc3)C1)C(=O)N)N","CJQCPTLUHOGRQY-UHFFFAOYSA-N"
37,7,"S1C(c2ccccc2)=CC=3NN=C(C13)C=4Nc5c(ccc(c5)C(O)(CC)CC)C4","YBKODNZGBUDZRA-UHFFFAOYSA-N"
37,8,"S(=O)(=O)(N)c1cc(Nc2nc3c(cn2)ccc4SC(c5ccccc5)=Cc43)ccc1","ZSSGEBJSMMYEMX-UHFFFAOYSA-N"
37,9,"S1c2c(N=C1NC(=O)[C@@H]3[C@@H](c4ccc(cc4)CN(C)C)C3)ccc(c2)C=5C=NNC5","WIUYFJQWJMBTCE-MOPGFXCFSA-N"
37,10,"O=C(NC=1C=NN(C1)[C@@H](c2ccccc2)CCN(C)C)C3=NNc4c3ccc(c4)C=5C=NNC5","NCXHAHGMYXETMO-HSZRJFAPSA-N"
